0 csv2kmn.py
1 PT.csv
2 76
3 PT
['\ueb2c', 'eb2c', 'bronze', 'bronze']
['\ue006', 'e006', 'brother', 'irmão']
['\ue007', 'e007', 'brothers', 'irmãos']
['\ue17a', 'e17a', 'build', 'edificar']
['\ue0a1', 'e0a1', 'building', 'edificando']
['\uec86', 'ec86', 'burden', 'fardo']
['\uecd0', 'ecd0', 'burn', 'queimar']
['\uecd0', 'ecd0', 'burnt', 'queimado']
['\ue0d7', 'e0d7', 'bury', 'enterrar']
['\ue11a', 'e11a', 'but', 'porêm']
['\ue32a', 'e32a', 'buy', 'comprar']
['\ue370', 'e370', 'Caesar', 'César']
['\ue346', 'e346', 'Caesarea', 'Cesareia']
['\uea77', 'ea77', 'Caiaphas', 'Caifás']
['\uec56', 'ec56', 'Cain', 'Caim']
['\uec56', 'ec56', 'Cainan', 'Cainã']
['\ue040', 'e040', 'call', 'ligar']
['\ue29f', 'e29f', 'camel', 'camelo']
['\ue124', 'e124', 'can', 'pode']
['\ueba2', 'eba2', 'Cana', 'Caná']
['\ue33d', 'e33d', 'Canaan_land', 'Canaã']
['\ueb85', 'eb85', 'Candace', 'Candace']
['\ue33a', 'e33a', 'Capernaum', 'Cafarnaum']
['\ueb74', 'eb74', 'Cappadocia', 'Capadócia']
['\ue19e', 'e19e', 'careful', 'cuidado']
['\ue14f', 'e14f', 'carpenter', 'carpintero']
['\uecad', 'ecad', 'Carpus', 'Carpo']
['\ue088', 'e088', 'carry', 'carregar']
['\uec87', 'ec87', 'case', 'caso']
['\ue115', 'e115', 'catch', 'pegar']
['\uec36', 'ec36', 'Cauda', 'Cauda']
['\ueb3d', 'eb3d', 'Cenchrea', 'Cencreia']
['\ue0b8', 'e0b8', 'census', 'censo']
['\ueb7a', 'eb7a', 'centurion', 'centurião']
['\ue356', 'e356', 'Cephas', 'Cefas']
['\uec88', 'ec88', 'ceremony', 'cermônia']
['\ue25f', 'e25f', 'chain', 'cadeia']
['\ue298', 'e298', 'chair', 'cadeira']
['\ueb0e', 'eb0e', 'Chaldea', 'Caldéia']
['\ue31e', 'e31e', 'change', 'mundança']
['\ue230', 'e230', 'chapter', 'capítulo']
['\uec82', 'ec82', 'chariot', 'carruagem']
['\ue200', 'e200', 'child', 'criança']
['\ue201', 'e201', 'children', 'crianças']
['\ueb22', 'eb22', 'Chios', 'Quios']
['\uebe2', 'ebe2', 'Chloe', 'Cloé']
['\ue021', 'e021', 'choose', 'escolher']
['\uea8f', 'ea8f', 'Chorazin', 'Corazim']
['\ue334', 'e334', 'Christ', 'Cristo']
