,Aaron,eb0d,Arão
,Euphrates_River,ecd8,Rio_Eufrates
,Eutychus,eb1f,Êutico
,evangelist,e13f,evangelista
,Eve,ebeb,evangelista
,evening,e273,noite
,everyone,e140,todos
,everything,e114,tudo
,everywhere,e155,em_toda_parte
,example,ecf0,exemplo
,explain,e059,explicar
,eye,e238,olho
,face,e203,face
,Fair_Haven,ec18,Refúgio_Justo
,faithful,e219,fiel
,fall,e218,cair
,family,e176,família
,famine,e18d,fome
,far,e197,longe
,farewell,ec83,despedida
,farm,eb91,fazenda
,farmer,e133,agricultor
,fast_no_eat,e18e,jejuar_não_comer
,fast_speed,e21a,rápida_velocidade
,fat,ea86,gordo
,fat_animal,eb11,graxa_animal
,father,e003,pai
,feast,e054,festa
,Felix,eb99,Félix
,festival,e20b,festival
,few,e19b,poucos
,fig,eda2,figo
,fill,e278,preencher
,find,e101,encontrar
,finger,eba5,dedo
,fire,e301,fogo
,first,e233,primeiro
,fish,e263,peixe
,fisherman,e264,pescador
,five,e290,cinco
,fix,e09d,consertar
,flesh,e26b,carne
,flip,e31d,sacudir
,flood,ece0,inundar
,flour,ea35,farinha
,flower,eb24,flor
,flute,ea8b,flauta
,fly,e25b,voar
,follow,e13e,seguir
,fool,ea7c,tolo
,foot,e13d,pé
,for,e086,para
,foreigner,e158,estrangeiro
,foreknowledge,eb79,presciência
,forest,ec27,floresta
,forgive,e18f,perdoar
,Fortunatus,eca4,Fortunato
,forward,e318,adiante
,foundation,e179,fundação
,four,e28f,quatro
,fox,ea8a,raposa
,fragrant,e097,perfumado
,free,e260,livre
,free_no_cost,ebe4,livre_sem_costo
,Freedmen,ec8e,Libertos
,friend,e024,amigo
,frog,ecf6,rã
,from,e31a,desde
,fruit,e27e,fruta
,fulfill,e0d2,cumprir
,full,e276,cheio
,futile,e190,fútil
,future,e16e,futuro
,Gabriel,ec39,Gabriel
,Gad,ecbd,Gade
,Gadara,e33f,Gadara
,gain,e1a3,ganho
,Gaius,ec0f,Gaio
,Galatia,eb46,Galácia
,Galilee,e337,Galileia
,Gallio,eb3b,Gálio
,Gamaliel,eb4d,Gamaliel
,gate,e289,portão
,gathered_people,e126,pessoas_reunidas
,gathered_things,e108,coisas_reunidas
,Gaza,eb7f,Gaza
,generation,e019,generação
,Gennesaret,e341,Genesaré
,gentle,e26d,amável
,Gethsemane,e34a,Getsêmani
,Gideon,ed03,Gideão
,gift,e072,presente
,girl,e009,menina
,girls,e00a,meninas
,glass,ecde,vidro
,glorify,e217,glorificar
,gluttony,ea8c,glutonaria
,go,e381,ir
,go_down,e080,descer
,goat,ea7d,bode
,God,e036,Deus
,godly,e130,piedoso
,Gog,ecf7,Gogue
,gold,eb2a,ouro
,Golgotha,e34b,Gólgota
,Gomorrah,ea7a,Gomorra
,gong,ebe5,gongo
,good,e096,bom
,good_news,e22b,boas_novas
,governor,e0a3,governador
,grace,e01f,graça
,grain,e279,grão
,grape,ecf4,uva
,grass,ea33,grama
,grateful,e20e,grato
,grave,e178,sepultar
,Greece,e345,Grécia
,greed,ea94,cobiça
,green,ecd1,verde
,greeting,e051,saudação
,grieve,e207,entristecer
,grind,e83d,moer
,groom,e013,noivo
,grow,e154,crescer
,guard,e0c1,guarda
,guilt,ea84,culpa
,Hagar,ecab,Agar
,hail,ea13,saraiva
,hail_storm,ecdd,tormenta_granizo
,hair,e208,cabelo
,half,ea22,metade
,hand,e071,mão
,happy,e205,feliz
,Haran_land,eb0b,Harã
,hard,e269,difícil
,harlot,ecfc,prostituta
,harp,ecc6,harpa
,harsh,eca7,áspero
,harvest,e082,colheita
,harvester,e139,segador
,have,e083,ter
,have_to,e07f,tem_que
,head,e206,cabeça
,heal,e084,curar
,health,e209,cura
,heart,e29a,coração
,heaven,e380,céu
,heavy,e0e7,pesado
,Hebrew,ec8f,Hebreus
,hedge,e28a,cerca
,height,ecc1,altura
,heir,e018,herdeiro
,hell,e0d1,inferno
,help,e13a,ajudar
,here,e212,aqui
,Hermas,ebc4,Hermas
,Hermes_idol,eb2f,Hermes_ídolo
,Hermes_man,ebed,Hermes
,Hermogenes,ecb5,Hermógenes
,Herod,e360,Herodes
,Herodians,ea05,Herodianos
,Herodias,e355,Herodias
,Herodion,ebf1,Herodião
,Hezekiah,ea62,Ezequias
,Hezron,ea4f,Hezrom
,hide,e085,esconder
,Hierapolis,ece9,Hierápolis
,hill,e202,monte
,hire,e13b,contratar
,hole,e302,orifício
,holy,e13c,santo
,honey,e052,mel
,honor,e031,honra
,hope,e213,esperança
,horn,ecc5,chifre
,horse,e303,cabalo
,hosanna,e216,Hosana
,Hosea,ebc5,Oseias
,hour,e331,hora
,house,e171,casa
,how,e068,como
,how_long,e83c,quanto_tempo
,human_nature,e23d,natureza_humana
,humble,e19d,humilde
,humiliate,e065,humilhar
,hungry,e01e,faminto
,hurt,e24f,ferir
,husband,e012,esposo
,Hymenaeus,ecaa,Himeneu
,hymn,e0e3,hino
,I,e166,I
,Iconium,ec1f,Icônio
,idol,e35d,ídolo
,Idumea,e378,Idumeia
,if,e111,se
,ignorance,e06e,ignorância
,Illyricum,ebc6,Ilírico
,immeasurable,e18c,imensurável
,immediately,e215,imediatamente
,important,ebe7,importante
,impossible,e180,impossível
,in,e240,em
,in_front,e112,em_frente
,incense,ec98,incenso
,inheritance,e017,herança
,insect,e304,inseto
,iron,eb29,ferro
,Isaac,e374,Isaque
,Isaiah,e372,Isaías
,island,eb05,ilha
,Israel,ea04,Israel
,Issachar,ecce,Issacar
,Italy,ec90,Itália
,Ituraea,ec3e,Itureia
,Jacob,e375,Jacó
,Jairus,e367,Jairo
,Jambres,ecbc,Jambres
,James,e358,Tiago
,James_the_Disciple,e376,Tiago_o_Discípulo
,Jannai,ec46,Janai
,Jannes,ecbe,Janes
,jar,e0d5,jarra
,Jared,ec62,Jarede
,Jason,eb64,Janom
,Jechoniah,ea66,Jeconias
,Jehoshaphat,ea5d,Josafá
,Jephthah,ed04,Jefté
,Jeremiah,ea28,Jeremias
,Jericho,ea08,Jericó
,Jerusalem,e338,Jerusalém
,Jesse,ea58,Jessé
,Jesus,e037,Jesus
,Jesus_not_Christ,eb03,Jesus_não_Cristo
,Jew,e0f9,Judeus
,Jezebel,eca2,Jezabel
,Joanan,ec4c,Joanã
,Joanna,ec63,Joana
,Job,ed0b,Jó
,Joel,ec92,Joel
,John,e35a,João
,John_the_Baptist,e336,João_o_Batista
,Jonah,e0c5,Jonas
,Jonah_Simons_father,ea29,Jonas_pai_Simão
,Jonam,ec9b,Jonã
,Joppa,ec2d,Jope
,Joram,ea5e,Jorão
,Jordan_River,e34f,Rio_Jordão
,Jorim,ec64,Jorim
,Joseph,ea15,José
,Joses,e369,José
,Josiah,ea65,Josias
,Jotham,eb82,Jotão
,Jothan,ea60,Jothan
,Juda,e368,Judas
,Judah,ea4b,Judá
,Judas_Iscariot,e365,Judas_Iscariotes
,Judea,e339,Judeia
,judge,e1a2,juíz
,Julia,ebc7,Júlia
,Julius,ec07,Júlio
,jump,ed0a,saltar
,Junia,ebc8,Júnias
,justice,ea25,justiça
,justify,eb4f,justificar
,Justus,eb6a,Justo
,keep,e099,manter
,key,ea9d,chave
,Kidron_Valley,eba6,Vale_Cedrom
,kind_nice,e01c,amável__gentil
,kind_same,ed00,amável_mesmo
,king,e028,rei
,kingdom,e02f,reino
,Kish,eb49,Quis
,kiss,e0e8,beijo
,kneel,e138,ajoelhar
,knock,eb8b,bater
,knot,e30e,atar
,know,e062,conhecer
,Korah,ecf3,Corá
,lake,ec65,lago
,Lamech,ec66,Lameque
,lamp,e164,lámpada
,lampstand,e281,candelabro
,language,ea23,língua
,Laodicea,ebf9,Laodiceia
,Lasea,ec16,Lasea
,last,e234,última
,late,e225,tarde
,Latin,eba8,Latim
,laugh,e224,rir
,lawlessness,e08f,ilegalidade
,Lazarus,ec67,Lázaro
,lead,e137,liderança
,leaf,e0b3,folha
,lease,e175,arrendamento
,least,e397,mínimo
,leather,e255,couro
,leaven,e32d,fermentar
,left,e0f4,esquerda
,leg,ebe0,perna
,Legion,e366,Legião
,length,ecc2,comprimento
,leopard,ecf8,leopardo
